vaalipiiri,id,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.
13 Lapin vaalipiiri,5643,Harjula,Oili,Muutos 2011,63,F,0
08 Kaakkois-Suomen vaalipiiri,4591,Harjumaaskola,Jarkko,Suomen Sosialidemokraattinen Puolue,46,M,0
13 Lapin vaalipiiri,4841,Harjunharja,Hansi,Piraattipuolue,31,M,0
03 Varsinais-Suomen vaalipiiri,5150,Harjunpää,Eva-Maija ,Suomen Kristillisdemokraatit (KD),32,F,0
02 Uudenmaan vaalipiiri,5661,Harkimo,Harry,Kansallinen Kokoomus,61,M,0
01 Helsingin vaalipiiri,5679,Harkimo,Joel,Kansallinen Kokoomus,25,M,0
11 Keski-Suomen vaalipiiri,6076,Harlamow,Ari,Vasemmistoliitto,0,M,0
13 Lapin vaalipiiri,5733,Harri,Hannu,Itsenäisyyspuolue,23,M,0
06 Hämeen vaalipiiri,4305,Hartikainen,Antti,Vasemmistoliitto,24,M,0
09 Savo-Karjalan vaalipiiri,6030,Hartikainen,Kari,Vasemmistoliitto,0,M,0
09 Savo-Karjalan vaalipiiri,5165,Hartikainen,Pentti,Suomen Sosialidemokraattinen Puolue,52,M,0
08 Kaakkois-Suomen vaalipiiri,4943,Hartonen-Pulkka,Tanja,Perussuomalaiset,44,F,0
01 Helsingin vaalipiiri,5765,Hassan,Ahmed,Suomen ruotsalainen kansanpuolue,30,M,0
07 Pirkanmaan vaalipiiri,5269,Hassi,Satu,Vihreä liitto,63,F,0
02 Uudenmaan vaalipiiri,4967,Hassinen,Eila ,Muutos 2011,56,F,0
02 Uudenmaan vaalipiiri,5889,Hatam,Midiya Zahir,Suomen ruotsalainen kansanpuolue,0,F,0
09 Savo-Karjalan vaalipiiri,4805,Hattunen,Jenna,Kansallinen Kokoomus,24,F,0
